company_id,company_name,category,statement,confidence
ABB,Abbott India Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,90
ABB,Abbott India Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
ABB,Abbott India Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,70
ABB,Abbott India Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
ABB,Abbott India Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ABB,Abbott India Ltd,Pro,Debt levels remain under control.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low Return on Equity indicates weaker shareholder returns.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low ROCE suggests inefficient capital utilization.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,High Debt-to-Equity increases financial risk.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low Net Profit Margin indicates weak profitability.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low interest coverage may increase financial risk.,60
ADANIENSOL,Adani Energy Solutions Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIENSOL,Adani Energy Solutions Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,90
ADANIENSOL,Adani Energy Solutions Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ADANIENT,Adani Enterprises Ltd,Con,Low Return on Equity indicates weaker shareholder returns.,60
ADANIENT,Adani Enterprises Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
ADANIENT,Adani Enterprises Ltd,Con,Negative Free Cash Flow may impact future growth.,100
ADANIENT,Adani Enterprises Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIGREEN,Adani Green Energy Ltd,Con,High Debt-to-Equity increases financial risk.,70
ADANIGREEN,Adani Green Energy Ltd,Con,Low interest coverage may increase financial risk.,60
ADANIGREEN,Adani Green Energy Ltd,Con,Negative Free Cash Flow may impact future growth.,100
ADANIGREEN,Adani Green Energy Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIGREEN,Adani Green Energy Ltd,Con,Very high leverage increases long-term financial risk.,70
ADANIGREEN,Adani Green Energy Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Healthy Net Profit Margin indicates strong profitability.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Positive Free Cash Flow supports future growth.,100
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,Debt levels remain under control.,60
ADANIPOWER,Adani Power Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,100
ADANIPOWER,Adani Power Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
ADANIPOWER,Adani Power Ltd,Pro,Comfortable interest coverage reduces financial risk.,70
ADANIPOWER,Adani Power Ltd,Pro,Positive Free Cash Flow supports future growth.,100
ADANIPOWER,Adani Power Ltd,Pro,Debt levels remain under control.,60
AMBUJACEM,Ambuja Cements Ltd,Con,Negative Free Cash Flow may impact future growth.,100
AMBUJACEM,Ambuja Cements Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
AMBUJACEM,Ambuja Cements Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
AMBUJACEM,Ambuja Cements Ltd,Pro,Debt levels remain under control.,60
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Con,Low Net Profit Margin indicates weak profitability.,70
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,Positive Free Cash Flow supports future growth.,100
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,Debt levels remain under control.,60
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Healthy Net Profit Margin indicates strong profitability.,60
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Strong Operating Profit Margin reflects operational efficiency.,60
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Comfortable interest coverage reduces financial risk.,100
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Positive Free Cash Flow supports future growth.,100
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,Debt levels remain under control.,60
DMART,Avenue Supermarts Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
DMART,Avenue Supermarts Ltd,Con,Low Operating Profit Margin indicates poor operating efficiency.,60
DMART,Avenue Supermarts Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
DMART,Avenue Supermarts Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
DMART,Avenue Supermarts Ltd,Pro,Positive Free Cash Flow supports future growth.,100
DMART,Avenue Supermarts Ltd,Pro,Debt levels remain under control.,60
AXISBANK,Axis Bank Ltd,Con,Low ROCE suggests inefficient capital utilization.,70
AXISBANK,Axis Bank Ltd,Con,High Debt-to-Equity increases financial risk.,80
AXISBANK,Axis Bank Ltd,Con,Negative Free Cash Flow may impact future growth.,100
AXISBANK,Axis Bank Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
AXISBANK,Axis Bank Ltd,Con,Very high leverage increases long-term financial risk.,80
AXISBANK,Axis Bank Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,80
AXISBANK,Axis Bank Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,90
BAJAJ-AUTO,Bajaj Auto Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,70
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,Debt levels remain under control.,60
BAJFINANCE,Bajaj Finance Ltd,Con,High Debt-to-Equity increases financial risk.,60
BAJFINANCE,Bajaj Finance Ltd,Con,Negative Free Cash Flow may impact future growth.,100
BAJFINANCE,Bajaj Finance Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BAJFINANCE,Bajaj Finance Ltd,Con,Very high leverage increases long-term financial risk.,60
BAJFINANCE,Bajaj Finance Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,90
BAJFINANCE,Bajaj Finance Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,80
BAJFINANCE,Bajaj Finance Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BAJAJFINSV,Bajaj Finserv Ltd,Con,High Debt-to-Equity increases financial risk.,70
BAJAJFINSV,Bajaj Finserv Ltd,Con,Negative Free Cash Flow may impact future growth.,100
BAJAJFINSV,Bajaj Finserv Ltd,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BAJAJFINSV,Bajaj Finserv Ltd,Con,Very high leverage increases long-term financial risk.,60
BAJAJFINSV,Bajaj Finserv Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Positive Free Cash Flow supports future growth.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,Debt levels remain under control.,60
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,High Composite Quality Score indicates strong overall fundamentals.,100
BANKBARODA,Bank of Baroda,Con,Low ROCE suggests inefficient capital utilization.,70
BANKBARODA,Bank of Baroda,Con,High Debt-to-Equity increases financial risk.,90
BANKBARODA,Bank of Baroda,Con,Negative Free Cash Flow may impact future growth.,100
BANKBARODA,Bank of Baroda,Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BANKBARODA,Bank of Baroda,Con,Very high leverage increases long-term financial risk.,80
BANKBARODA,Bank of Baroda,Pro,Healthy Net Profit Margin indicates strong profitability.,60
BANKBARODA,Bank of Baroda,Pro,Strong Operating Profit Margin reflects operational efficiency.,100
BEL,Bharat Electronics Ltd,Con,Negative Free Cash Flow may impact future growth.,100
BEL,Bharat Electronics Ltd,Pro,Healthy Net Profit Margin indicates strong profitability.,70
BEL,Bharat Electronics Ltd,Pro,Strong Operating Profit Margin reflects operational efficiency.,70
BEL,Bharat Electronics Ltd,Pro,Comfortable interest coverage reduces financial risk.,100
BEL,Bharat Electronics Ltd,Pro,Debt levels remain under control.,60
BEL,Bharat Electronics Ltd,Pro,High Composite Quality Score indicates strong overall fundamentals.,100
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Return on Equity indicates weaker shareholder returns.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low ROCE suggests inefficient capital utilization.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Net Profit Margin indicates weak profitability.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Operating Profit Margin indicates poor operating efficiency.,80
BHEL,"Bharat Heavy Electricals Limited
",Con,Low interest coverage may increase financial risk.,60
BHEL,"Bharat Heavy Electricals Limited
",Con,Negative Free Cash Flow may impact future growth.,100
BHEL,"Bharat Heavy Electricals Limited
",Con,Low Composite Quality Score indicates weak overall fundamentals.,100
BHEL,"Bharat Heavy Electricals Limited
",Pro,Debt levels remain under control.,60
BPCL,Bharat Petroleum Corporation Ltd,Con,Low Net Profit Margin indicates weak profitability.,70
BPCL,Bharat Petroleum Corporation Ltd,Con,Low Operating Profit Margin indicates poor operating efficiency.,60
